id,name,active_in_game,has_most_taught_primary,real_other_course_count,has_primary_or_real_other,most_taught_primary,other_classes_raw,additional_courses_raw,ucsd_start_year,appointments_slugs,appointments_labels,research_slugs,research_labels,hint_1,hint_2
albert-hsiao,Albert Hsiao,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; biomedical-data-science,Artificial Intelligence and Machine Learning; Biomedical Data Science,Radiology,Imaging
alex-cloninger,Alex Cloninger,yes,no,0,no,,upper; grad,,2017,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Theoretical Foundations of Data Science,Manifolds,Harmonics
alex-warstadt,Alex Warstadt,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning,Artificial Intelligence and Machine Learning,Syntax,Linguistics
armin-schwartzman,Armin Schwartzman,yes,yes,1,yes,DSC 190,DSC 241,,,tenure-track,Tenure-Track,biomedical-data-science; statistics,Biomedical Data Science; Statistics,Spatial stats,Imaging
arun-kumar,Arun Kumar,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; data-infrastructure-and-systems,Artificial Intelligence and Machine Learning; Data Infrastructure and Systems,Databases,ML systems
arya-mazumdar,Arya Mazumdar,yes,yes,1,yes,DSC 206,DSC 212,,,endowed-chairs; tenure-track,Endowed Chairs; Tenure-Track,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Coding theory,TILOS
babak-salimi,Babak Salimi,yes,yes,1,yes,DSC 100,DSC 261,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; data-infrastructure-and-systems; data-and-society,Artificial Intelligence and Machine Learning; Data Infrastructure and Systems; Data and Society,Causal inference,Databases
barna-saha,Barna Saha,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,theoretical-foundations-of-data-science,Theoretical Foundations of Data Science,Streaming,Graphs
benjamin-smarr,Benjamin Smarr,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,biomedical-data-science; data-science-for-scientific-discovery,Biomedical Data Science; Data Science for Scientific Discovery,Wearables,Rhythms
berk-ustun,Berk Ustun,yes,yes,0,yes,DSC 140A,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; data-and-society,Artificial Intelligence and Machine Learning; Data and Society,Interpretability,Decisions
biwei-huang,Biwei Huang,yes,yes,0,yes,DSC 210,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Theoretical Foundations of Data Science,Causal discovery,Representations
bradley-voytek,Bradley Voytek,yes,no,1,yes,,upper; grad,COGS 9,2018,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; biomedical-data-science,Artificial Intelligence and Machine Learning; Biomedical Data Science,Oscillations,Neuroscience
dimitris-politis,Dimitris Politis,yes,no,0,no,,upper; grad,,,endowed-chairs; tenure-track,Endowed Chairs; Tenure-Track,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Time series,Resampling
duncan-watson-parris,Duncan Watson-Parris,yes,yes,1,yes,DSC 80,DSC 200,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; data-science-for-scientific-discovery,Artificial Intelligence and Machine Learning; Data Science for Scientific Discovery,Climate,Earth ML
ery-arias-castro,Ery Arias-Castro,yes,no,0,no,,upper; grad,,2005,tenure-track,Tenure-Track,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Geometry,Statistics
frank-wuerthwein,Frank Wuerthwein,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,data-infrastructure-and-systems; data-science-for-scientific-discovery,Data Infrastructure and Systems; Data Science for Scientific Discovery,SDSC,Distributed
gal-mishne,Gal Mishne,yes,yes,0,yes,DSC 40A,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Theoretical Foundations of Data Science,Geometry,Embeddings
george-sugihara,George Sugihara,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,data-science-for-scientific-discovery; statistics,Data Science for Scientific Discovery; Statistics,Dynamics,Ecology
hao-zhang,Hao Zhang,yes,yes,0,yes,DSC 204A,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; data-infrastructure-and-systems,Artificial Intelligence and Machine Learning; Data Infrastructure and Systems,Distributed,Training
haojian-jin,Haojian Jin,yes,yes,0,yes,DSC 102,,,,tenure-track,Tenure-Track,data-infrastructure-and-systems; data-and-society,Data Infrastructure and Systems; Data and Society,Security,Privacy
ilkay-altintas,Ilkay Altintas,yes,no,0,no,,upper; grad,,2001,tenure-track,Tenure-Track,data-infrastructure-and-systems; data-science-for-scientific-discovery,Data Infrastructure and Systems; Data Science for Scientific Discovery,Workflows,Cyberinfrastructure
janine-tiefenbruck,Janine Tiefenbruck,yes,yes,3,yes,DSC 10,DSC 40A; DSC 80; DSC 95,,,teaching-faculty,Teaching Faculty,data-and-society; statistics,Data and Society; Statistics,Practice DSC,Pedagogy
jelena-bradic,Jelena Bradic,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Robust stats,Causal
jingbo-shang,Jingbo Shang,yes,yes,0,yes,DSC 148,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning,Artificial Intelligence and Machine Learning,Weak supervision,NLP
julian-mcauley,Julian McAuley,yes,no,0,no,,upper; grad,,,associate-faculty,Associates,artificial-intelligence-and-machine-learning,Artificial Intelligence and Machine Learning,Recommenders,NLP
justin-eldridge,Justin Eldridge,yes,yes,6,yes,DSC 40B,DSC 10; DSC 140A; DSC 140B; DSC 190; DSC 197; DSC 80,,2018,teaching-faculty,Teaching Faculty,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Teaching,Theory
kyle-shannon,Kyle Shannon,yes,yes,3,yes,DSC 40A,DSC 100,COGS 8; COGS 9,,teaching-faculty,Teaching Faculty,data-infrastructure-and-systems; theoretical-foundations-of-data-science,Data Infrastructure and Systems; Theoretical Foundations of Data Science,Foundations,Core DSC
lily-weng,Lily Weng,yes,yes,1,yes,DSC 210,DSC 291,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning,Artificial Intelligence and Machine Learning,Adversarial,Robustness
marina-langlois,Marina Langlois,yes,yes,2,yes,DSC 20,DSC 30; DSC 95,,,teaching-faculty,Teaching Faculty,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Discrete math,Undergrad
michael-holst,Michael Holst,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,data-science-for-scientific-discovery; theoretical-foundations-of-data-science,Data Science for Scientific Discovery; Theoretical Foundations of Data Science,PDEs,Numerics
mikhail-belkin,Mikhail Belkin,yes,yes,1,yes,DSC 291,DSC 240,,,endowed-chairs; tenure-track,Endowed Chairs; Tenure-Track,artificial-intelligence-and-machine-learning; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Theoretical Foundations of Data Science,Kernels,Deep learning
mikio-aoi,Mikio Aoi,yes,yes,0,yes,DSC 241,,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; biomedical-data-science; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Biomedical Data Science; Theoretical Foundations of Data Science,Neuroscience,Bayesian
peter-chi,Peter Chi,yes,yes,0,yes,DSC 10,,,2025,teaching-faculty,Teaching Faculty,biomedical-data-science; statistics,Biomedical Data Science; Statistics,Intro DSC,Phylogenetics
r-stuart-geiger,R Stuart Geiger,yes,no,0,no,,upper; grad,,2020,tenure-track,Tenure-Track,data-and-society,Data and Society,Open source,STS
rajesh-gupta,Rajesh Gupta,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,data-infrastructure-and-systems,Data Infrastructure and Systems,Embedded,Leadership
rayan-saab,Rayan Saab,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,theoretical-foundations-of-data-science; statistics,Theoretical Foundations of Data Science; Statistics,Compressed sensing,Quantization
rob-knight,Rob Knight,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,biomedical-data-science,Biomedical Data Science,Microbiome,Multiomics
ronghui-lily-xu,Ronghui (Lily) Xu,yes,no,0,no,,upper; grad,,2004,tenure-track,Tenure-Track,biomedical-data-science; statistics,Biomedical Data Science; Statistics,Biostatistics,Trials
rose-yu,Rose Yu,yes,no,0,no,,upper; grad,,,associate-faculty; tenure-track,Associates; Tenure-Track,artificial-intelligence-and-machine-learning; data-science-for-scientific-discovery,Artificial Intelligence and Machine Learning; Data Science for Scientific Discovery,Spatiotemporal,Physics ML
sam-lau,Sam Lau,yes,yes,1,yes,DSC 106,DSC 209R,,,teaching-faculty,Teaching Faculty,artificial-intelligence-and-machine-learning; data-and-society,Artificial Intelligence and Machine Learning; Data and Society,HCI,Pedagogy
shankar-subramaniam,Shankar Subramaniam,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,biomedical-data-science,Biomedical Data Science,Systems biology,Networks
shannon-ellis,Shannon Ellis,yes,no,1,yes,,lower; upper,COGS 108,,teaching-faculty,Teaching Faculty,data-science-for-scientific-discovery; data-and-society; statistics,Data Science for Scientific Discovery; Data and Society; Statistics,Reproducibility,Visualization
soohyun-nam-liao,Soohyun Nam Liao,yes,yes,2,yes,DSC 30,DSC 106; DSC 90,,,teaching-faculty,Teaching Faculty,data-and-society,Data and Society,CS education,Equity
tara-javidi,Tara Javidi,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,artificial-intelligence-and-machine-learning; theoretical-foundations-of-data-science,Artificial Intelligence and Machine Learning; Theoretical Foundations of Data Science,Sequential,Networks
tauhidur-rahman,Tauhidur Rahman,yes,yes,0,yes,DSC 80,,,,tenure-track,Tenure-Track,data-science-for-scientific-discovery; data-and-society,Data Science for Scientific Discovery; Data and Society,Mobile sensing,Development
terry-sejnowski,Terry Sejnowski,yes,no,0,no,,grad,,,associate-faculty,Associates,artificial-intelligence-and-machine-learning; biomedical-data-science,Artificial Intelligence and Machine Learning; Biomedical Data Science,Neuroscience,Salk
tiffany-amariuta,Tiffany Amariuta,yes,no,0,no,,upper; grad,,,tenure-track,Tenure-Track,biomedical-data-science; statistics,Biomedical Data Science; Statistics,Genetics,Biostatistics
vineet-bafna,Vineet Bafna,yes,no,0,no,,upper; grad,,2003,associate-faculty; endowed-chairs,Associates; Endowed Chairs,biomedical-data-science,Biomedical Data Science,Genomics,Algorithms
virginia-de-sa,Virginia de Sa,yes,no,0,no,,upper; grad,,,endowed-chairs; tenure-track,Endowed Chairs; Tenure-Track,artificial-intelligence-and-machine-learning; biomedical-data-science,Artificial Intelligence and Machine Learning; Biomedical Data Science,Neural nets,Brain signals
